date,open,close,high,low,volume
2005-03-22,6.4,6.39,6.41,6.39,8278.0
2005-03-23,6.39,6.39,6.4,6.39,5689.0
2005-03-24,6.4,6.4,6.4,6.39,5197.0
2005-03-28,6.4,6.41,6.41,6.39,9699.0
2005-03-29,6.41,6.4,6.41,6.39,13763.0
2005-03-30,6.4,6.4,6.4,6.39,10961.0
2005-03-31,6.4,6.4,6.4,6.39,8788.0
2005-04-01,6.39,6.42,6.43,6.39,13150.0
2005-04-04,6.43,6.43,6.44,6.42,14800.0
2005-04-05,6.43,6.43,6.44,6.41,15011.0
2005-04-06,6.43,6.44,6.45,6.43,14182.0
2005-04-07,6.39,6.33,6.4,6.32,54957.0
2005-04-08,6.32,6.25,6.33,6.22,86138.0
2005-04-11,6.25,6.28,6.28,6.24,34424.0
2005-04-12,6.28,6.34,6.37,6.27,43327.0
2005-04-13,6.34,6.35,6.36,6.33,22307.0
2005-04-14,6.35,6.32,6.36,6.32,18164.0
2005-04-15,6.32,6.32,6.33,6.31,9937.0
2005-04-18,6.32,6.29,6.32,6.27,20010.0
2005-04-19,6.3,6.29,6.32,6.28,9906.0
2005-04-20,6.28,6.28,6.3,6.28,6055.0
2005-04-21,6.29,6.3,6.3,6.28,9621.0
2005-04-22,6.29,6.29,6.3,6.28,8934.0
2005-04-25,6.29,6.27,6.3,6.27,11459.0
2005-04-26,6.27,6.3,6.3,6.26,13655.0
2005-04-27,6.3,6.29,6.31,6.29,7189.0
2005-04-28,6.29,6.3,6.31,6.29,8938.0
2005-04-29,6.3,6.3,6.31,6.3,5874.0
2005-05-02,6.3,6.34,6.35,6.29,12192.0
2005-05-03,6.34,6.31,6.35,6.31,8237.0
2005-05-04,6.32,6.3,6.32,6.29,15873.0
2005-05-05,6.3,6.3,6.31,6.3,4523.0
2005-05-06,6.3,6.3,6.31,6.28,6689.0
2005-05-09,6.3,6.32,6.33,6.3,4615.0
2005-05-10,6.32,6.32,6.33,6.31,2669.0
2005-05-11,6.33,6.3,6.33,6.29,14102.0
2005-05-12,6.3,6.31,6.32,6.3,3334.0
2005-05-13,6.31,6.32,6.33,6.3,5856.0
2005-05-16,6.32,6.3,6.33,6.3,10668.0
2005-05-17,6.31,6.3,6.31,6.29,9102.0
2005-05-18,6.3,6.3,6.31,6.29,7461.0
2005-05-19,6.31,6.31,6.32,6.3,8225.0
2005-05-20,6.31,6.32,6.33,6.3,9537.0
2005-05-23,6.31,6.34,6.35,6.31,14761.0
2005-05-24,6.34,6.34,6.36,6.33,11877.0
2005-05-25,6.34,6.34,6.35,6.33,8590.0
2005-05-26,6.34,6.32,6.35,6.32,15334.0
2005-05-27,6.32,6.31,6.33,6.3,15044.0
2005-05-31,6.31,6.33,6.33,6.3,14534.0
2005-06-01,6.33,6.34,6.34,6.32,10466.0
2005-06-02,6.34,6.38,6.38,6.34,21877.0
2005-06-03,6.37,6.36,6.38,6.35,15926.0
2005-06-06,6.35,6.41,6.42,6.35,30873.0
2005-06-07,6.41,6.39,6.42,6.39,16631.0
2005-06-08,6.39,6.41,6.42,6.39,18716.0
2005-06-09,6.41,6.4,6.42,6.4,11569.0
2005-06-10,6.41,6.41,6.41,6.39,24242.0
2005-06-13,6.41,6.42,6.42,6.4,31935.0
2005-06-14,6.42,6.42,6.43,6.41,20829.0
2005-06-15,6.41,6.45,6.46,6.38,30150.0
2005-06-16,6.45,6.46,6.46,6.43,30378.0
2005-06-17,6.46,6.48,6.49,6.46,57550.0
2005-06-20,6.48,6.56,6.56,6.48,111098.0
2005-06-21,6.56,6.54,6.57,6.53,69163.0
2005-06-22,6.54,6.5,6.54,6.5,45665.0
2005-06-23,6.5,6.54,6.55,6.5,47771.0
2005-06-24,6.54,6.54,6.56,6.54,34070.0
2005-06-27,6.55,6.61,6.63,6.55,136524.0
2005-06-28,6.61,6.59,6.62,6.58,60391.0
2005-06-29,6.6,6.62,6.63,6.58,59991.0
2005-06-30,6.62,6.61,6.64,6.61,58991.0
2005-07-01,6.61,6.61,6.62,6.6,25387.0
2005-07-05,6.61,6.63,6.63,6.61,34480.0
2005-07-06,6.63,6.65,6.65,6.62,55032.0
2005-07-07,6.65,6.65,6.67,6.65,46456.0
2005-07-08,6.66,6.63,6.66,6.63,23004.0
2005-07-11,6.63,6.61,6.64,6.6,20980.0
2005-07-12,6.61,6.61,6.62,6.6,15808.0
2005-07-13,6.61,6.58,6.61,6.58,26717.0
2005-07-14,6.59,6.59,6.59,6.58,20440.0
2005-07-15,6.58,6.59,6.6,6.58,12641.0
2005-07-18,6.59,6.58,6.59,6.57,15446.0
2005-07-19,6.58,6.6,6.6,6.57,5908.0
2005-07-20,6.6,6.6,6.61,6.59,16160.0
2005-07-21,6.6,6.59,6.6,6.59,8931.0
2005-07-22,6.59,6.6,6.6,6.59,6710.0
2005-07-25,6.6,6.6,6.6,6.59,4958.0
2005-07-26,6.6,6.6,6.6,6.59,8169.0
2005-07-27,6.6,6.6,6.6,6.59,6797.0
2005-07-28,6.6,6.59,6.6,6.59,9445.0
2005-07-29,6.6,6.62,6.62,6.59,20652.0
2005-08-01,6.61,6.62,6.62,6.6,10328.0
2005-08-02,6.62,6.61,6.62,6.6,10117.0
2005-08-03,6.6,6.59,6.61,6.59,11698.0
2005-08-04,6.59,6.59,6.6,6.58,16768.0
2005-08-05,6.59,6.57,6.59,6.57,26792.0
2005-08-08,6.57,6.6,6.6,6.56,32804.0
2005-08-09,6.59,6.59,6.6,6.59,27412.0
2005-08-10,6.59,6.58,6.59,6.56,15213.0
2005-08-11,6.58,6.53,6.58,6.53,33777.0
2005-08-12,6.53,6.54,6.55,6.53,26116.0
2005-08-15,6.55,6.53,6.55,6.53,13412.0
2005-08-16,6.54,6.52,6.54,6.52,16430.0
2005-08-17,6.52,6.54,6.54,6.52,18527.0
2005-08-18,6.54,6.54,6.55,6.53,27839.0
2005-08-19,6.54,6.54,6.55,6.54,29711.0
2005-08-22,6.54,6.56,6.57,6.54,40809.0
2005-08-23,6.55,6.58,6.59,6.5,64624.0
2005-08-24,6.58,6.56,6.58,6.53,47426.0
2005-08-25,6.56,6.63,6.64,6.56,73035.0
2005-08-26,6.63,6.61,6.63,6.61,58523.0
2005-08-29,6.62,6.56,6.62,6.55,69525.0
2005-08-30,6.57,6.56,6.57,6.53,38542.0
2005-08-31,6.56,6.58,6.59,6.53,35018.0
2005-09-01,6.58,6.59,6.6,6.56,22721.0
2005-09-02,6.59,6.58,6.59,6.57,14510.0
2005-09-06,6.58,6.56,6.58,6.55,16363.0
2005-09-07,6.56,6.55,6.57,6.55,16985.0
2005-09-08,6.55,6.55,6.56,6.54,22760.0
2005-09-09,6.56,6.55,6.57,6.54,16700.0
2005-09-12,6.56,6.54,6.56,6.53,13359.0
2005-09-13,6.54,6.54,6.55,6.53,24178.0
2005-09-14,6.55,6.54,6.56,6.53,9476.0
2005-09-15,6.54,6.59,6.59,6.54,15893.0
